Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
1D|4001|46.166599|-122.189499|0.0|20144001|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4003|46.1665|-122.183998|0.0|20144003|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4004|46.1646|-122.182297|402.4|20144004|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4005|46.162701|-122.182198|1276.2|20144005|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4006|46.1609|-122.180397|0.0|20144006|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4007|46.159698|-122.178101|0.0|20144007|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4008|46.158901|-122.175903|0.0|20144008|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4009|46.1586|-122.173203|0.0|20144009|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4010|46.157501|-122.170502|343.1|20144010|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4012|46.157501|-122.1642|1108.8|20144012|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4013|46.1567|-122.1623|1084.3|20144013|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4014|46.155102|-122.1614|1057.4|20144014|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4015|46.153702|-122.158302|317.4|20144015|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4016|46.1549|-122.154404|1052.3|20144016|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4017|46.1567|-122.152802|326.6|20144017|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4018|46.158798|-122.151497|330.4|20144018|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4019|46.161499|-122.149498|1110.0|20144019|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4020|46.163799|-122.147697|1147.8|20144020|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4021|46.165501|-122.147797|364.6|20144021|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4022|46.1665|-122.145599|377.5|20144022|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4023|46.167702|-122.144096|378.5|20144023|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4024|46.1698|-122.145599|1241.8|20144024|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4025|46.171101|-122.147797|1248.5|20144025|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4026|46.1721|-122.149101|1234.3|20144026|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4027|46.173401|-122.148598|1257.6|20144027|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4028|46.1749|-122.148003|388.1|20144028|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4029|46.176102|-122.147797|385.8|20144029|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4030|46.177601|-122.146103|395.7|20144030|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4031|46.179298|-122.147202|1322.2|20144031|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4032|46.181801|-122.1464|1335.6|20144032|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4033|46.183601|-122.147499|411.1|20144033|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4034|46.1852|-122.147903|1349.6|20144034|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4035|46.186699|-122.146698|1360.0|20144035|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4036|46.188301|-122.1465|418.1|20144036|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4037|46.189499|-122.146301|416.8|20144037|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4038|46.190399|-122.144997|1368.5|20144038|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4039|46.191002|-122.143501|401.7|20144039|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4040|46.192001|-122.142502|1302.2|20144040|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4041|46.192501|-122.140099|1283.0|20144041|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4042|46.192799|-122.137199|391.6|20144042|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4043|46.194199|-122.1353|391.0|20144043|2014-01-01T00:00:00|2014-12-12T23:59:59
1D|4044|46.195599|-122.1362|1288.6|20144044|2014-01-01T00:00:00|2014-12-12T23:59:59
