Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
CC|HOA|46.24178|-122.19183|1151.0|Hoala|2021-06-08T00:00:00|2599-12-31T23:59:59
CC|JRO|46.27527|-122.21826|1219.0|Johnston Ridge Observatory|2004-10-02T00:00:00|2599-12-31T23:59:59
CC|LOO|46.22375|-122.18439|1521.35|Loowit|2021-06-08T00:00:00|2599-12-31T23:59:59
CC|MAR|46.28532|-122.29667|679.27|Maratta|2021-06-17T00:00:00|2599-12-31T23:59:59
CC|NFT|46.27|-122.25611|818.16|North Fork Toutle|2021-06-08T00:00:00|2599-12-31T23:59:59
CC|REM|46.2002|-122.1855|1905.44|Rembrant, Mount St. Helens|2018-07-25T00:00:00|2599-12-31T23:59:59
CC|SEP|46.19978|-122.190857|2114.0|September lobe, Mt. St. Helens (Dome sta)|2004-11-05T00:00:00|2599-12-31T23:59:59
CC|STD|46.23749|-122.22421|1189.0|Studebaker Ridge, Mount St. Helens|2004-10-05T00:00:00|2599-12-31T23:59:59
CC|SUG|46.215549|-122.176262|1859.0|Sugar Bowl|2009-08-07T00:00:00|2599-12-31T23:59:59
CC|SWF2|46.178349|-122.216766|1548.0|Southwest Flank 2, Mount St. Helens|2013-08-29T00:00:00|2599-12-31T23:59:59
CC|SWFL|46.18867|-122.20203|2268.0|Southwest Flank|2006-10-01T00:00:00|2013-08-28T00:00:00
CC|UNFR|46.27251|-122.291983|884.0|Upper North Fork Repeater|2021-06-08T00:00:00|2599-12-31T23:59:59
CC|USFR|46.215333|-122.232778|1341.75|Upper South Fork Repeater|2022-06-30T00:00:00|2599-12-31T23:59:59
CC|VALT|46.214218|-122.189247|1681.0|Vault, Mount St. Helens|2006-09-30T00:00:00|2599-12-31T23:59:59
PB|B201|46.303299|-122.264801|990.0|coldwt201bwa2007, Mt St Helens, WA, USA|2007-09-12T00:00:00|2599-12-31T23:59:59
PB|B202|46.244701|-122.136703|1218.6|windyr202bwa2007, Mt St Helens, WA, USA|2007-07-25T00:00:00|2599-12-31T23:59:59
PB|B203|46.168999|-122.333664|814.4|quarry203bwa2007, Mount Saint Helens, WA, USA|2007-07-18T00:00:00|2599-12-31T23:59:59
PB|B204|46.136|-122.169|784.2|marble204bwa2007, Mt St Helens, WA, USA|2007-08-01T00:00:00|2599-12-31T23:59:59
UW|APE|46.099461|-122.207497|579.0|Ape Cave 5-day analog, WA, USA|1980-03-23T00:00:00|1980-06-15T00:00:00
UW|CDF|46.11712|-122.04625|772.0|Cedar Flats, MSH, WA, USA|1980-03-29T00:00:00|2599-12-31T23:59:59
UW|CWC|46.279171|-122.278|683.0|Cold Water Creek 5-day analog|1980-03-24T00:00:00|1980-05-19T00:00:00
UW|DIG|46.21233|-122.187042|1800.0|Mt. St. Helens crater 3-comp|1985-05-01T00:00:00|1985-11-01T23:59:59
UW|EDM|46.19717|-122.15121|1611.0|East Dome, Mt. St. Helens, WA, USA|1980-06-01T00:00:00|2599-12-31T23:59:59
UW|HSR|46.17428|-122.18065|1720.0|South Ridge, Mt. St. Helens, WA, USA|1985-08-12T00:00:00|2599-12-31T23:59:59
UW|MUD|46.176689|-122.040962|488.0|Muddy River 5-day analog|1980-03-25T00:00:00|1980-05-19T00:00:00
UW|PUPY|46.49542|-122.14613|816.3|Dog Mt, WA, USA|2019-10-31T00:00:00|2599-12-31T23:59:59
UW|SHW|46.19364|-122.23492|1442.0|Mt. St. Helens West, WA, USA|1972-10-01T00:00:00|2599-12-31T23:59:59
XD|ME04|46.450611|-122.351936|730.0|ME04|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|ME06|46.463291|-122.196968|643.0|ME06|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|ME08|46.461948|-121.865639|598.0|ME08|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MF05|46.390369|-122.386757|727.0|MF05|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MF07|46.425629|-122.002274|515.0|MF07|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MF09|46.389938|-121.861|1216.0|MF09|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MG03|46.33807|-122.476189|638.0|MG03|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MG05|46.305882|-122.341927|1283.0|MG05|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MG06|46.35014|-122.217453|1408.0|MG06|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MG07|46.352852|-122.031013|1457.0|MG07|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MG08|46.34174|-121.928726|1547.0|MG08|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MH04|46.279461|-122.427071|920.0|MH04|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MH07|46.279812|-122.082024|1122.0|MH07|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MH09|46.297668|-121.801033|989.0|MH09|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MI04|46.195938|-122.410149|918.0|MI04|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MI05|46.231098|-122.292122|1255.0|MI05|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MI07|46.24823|-122.07328|1124.0|MI07|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MI08|46.253849|-121.97448|1246.0|MI08|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MI09|46.22937|-121.834473|1003.0|MI09|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MJ06|46.167049|-122.26062|976.0|MJ06|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MJ07|46.17878|-122.055779|509.0|MJ07|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MJ09|46.184181|-121.92144|1052.0|MJ09|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MK04|46.112701|-122.390862|482.0|MK04|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MK06|46.118408|-122.192528|680.0|MK06|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MK07|46.152699|-122.116768|929.0|MK07|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MK08|46.117378|-122.046066|762.0|MK08|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|ML03|46.062431|-122.516006|356.0|ML03|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|ML07|46.074268|-122.115227|694.0|ML07|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|ML09|46.078091|-121.880363|1144.0|ML09|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MM04|46.015251|-122.345451|313.0|MM04|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MM06|46.04118|-122.256882|601.0|MM06|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MM08|46.03273|-121.984123|1019.0|MM08|2014-05-01T00:00:00|2016-12-31T23:59:59
XD|MN09|46.00074|-121.841904|1254.0|MN09|2014-05-01T00:00:00|2016-12-31T23:59:59
YB|S01|46.215698|-122.175003|1866.0|Sugar Bowl|2005-06-15T00:00:00|2006-07-01T00:00:00
YB|S02|46.209801|-122.2024|2145.0|NW Dome|2005-06-21T00:00:00|2006-07-01T00:00:00
YB|S03|46.189999|-122.202003|2275.0|West Radial|2005-06-21T00:00:00|2006-07-01T00:00:00
YB|S04|46.187901|-122.175301|2234.0|SE Ridge|2005-06-21T00:00:00|2006-07-01T00:00:00
YB|S05|46.232201|-122.193703|1313.0|Goat Rx|2005-06-22T00:00:00|2006-07-01T00:00:00
YB|S06|46.168499|-122.191101|1566.0|Monitor Ridge|2005-06-10T00:00:00|2006-07-01T00:00:00
YB|S07|46.199299|-122.146202|1435.0|Little Dome NE of East Dome|2005-06-13T00:00:00|2006-07-01T00:00:00
YB|S08|46.222801|-122.156097|1385.0|NW of Windy Pass|2005-06-23T00:00:00|2006-07-01T00:00:00
YB|S09|46.222698|-122.218498|1352.0|Studebaker Creek|2005-06-20T00:00:00|2006-07-01T00:00:00
YB|S10|46.178501|-122.213799|1544.0|Baguette|2005-06-17T00:00:00|2006-07-01T00:00:00
YB|S11|46.169201|-122.144897|1292.0|Worm Flows|2005-06-16T00:00:00|2006-07-01T00:00:00
